運送会社,サイズ,重量,地域,運賃,離島加算,中継加算
西濃,,200,100,4500,0,0
西濃,,200,200,5000,0,0
西濃,,200,300,5400,0,0
西濃,,200,400,6500,0,0
西濃,,200,500,7200,0,0
西濃,,200,600,7900,0,0
西濃,,200,700,10200,0,0
西濃,,200,800,11500,0,0
西濃,,200,900,12500,0,0
西濃,,200,1000,13400,0,0
西濃,,200,1100,14300,0,0
西濃,,200,1200,15200,0,0
西濃,,220,100,5200,0,0
西濃,,220,200,5700,0,0
西濃,,220,300,6100,0,0
西濃,,220,400,7400,0,0
西濃,,220,500,8300,0,0
西濃,,220,600,9100,0,0
西濃,,220,700,11800,0,0
西濃,,220,800,13300,0,0
西濃,,220,900,14600,0,0
西濃,,220,1000,15600,0,0
西濃,,220,1100,17200,0,0
西濃,,220,1200,18200,0,0
西濃,,270,100,6500,0,0
西濃,,270,200,7800,0,0
西濃,,270,300,8900,0,0
西濃,,270,400,9900,0,0
西濃,,270,500,11000,0,0
西濃,,270,600,12100,0,0
西濃,,270,700,15700,0,0
西濃,,270,800,17700,0,0
西濃,,270,900,19400,0,0
西濃,,270,1000,20700,0,0
西濃,,270,1100,22100,0,0
西濃,,270,1200,23400,0,0
西濃,,320,100,9200,0,0
西濃,,320,200,11000,0,0
西濃,,320,300,12800,0,0
西濃,,320,400,14300,0,0
西濃,,320,500,15900,0,0
西濃,,320,600,17500,0,0
西濃,,320,700,19400,0,0
西濃,,320,800,21900,0,0
西濃,,320,900,24500,0,0
西濃,,320,1000,26300,0,0
西濃,,320,1100,28000,0,0
西濃,,320,1200,29800,0,0
