品番,品名,佐川サイズ,西濃重量,久留米重量,運送便①,運送便②,運送便③,西濃別表
5145800,移動式木工具収納ケース,220,20,20,佐川,西濃,久留米,0
5102010,「ものづくり基本道具」収納ケース,190,,,佐川,西濃,久留米,0
5372110,ベルトサンダーTY-200,160,40,40,佐川,西濃,久留米,0
5372111,ベルトサンダーTY-200専用台,150,,,佐川,西濃,久留米,0
5372130,ベルトサンダー　TS1NDX,160,,,佐川,西濃,久留米,0
5372017,ベルトサンダーBDS－１０１０,140,,,佐川,西濃,久留米,0
5166500,バンドソーBT-500,240,,,佐川,西濃,久留米,0
5155408,卓上切断機　TS225,140,15,15,佐川,西濃,久留米,0
5155780,バンドソー　TBS－８０,160,15,15,佐川,西濃,久留米,0
5367905,ボール盤床上台　SB-2,170,,,佐川,西濃,久留米,0
5155811,自動鉋盤　AP^10N,120,26,26,佐川,西濃,久留米,0
5825002,斜眼黒板（スチール）,200,,,佐川,西濃,久留米,0
5155641,集塵機　マキタ　＃４９０,180,,,佐川,西濃,久留米,0
5155622,リョービミクロン集塵機VC-125,,6.7,6.7,佐川,西濃,久留米,0
5155581,ブロアーバキューム　RESV-1510 V,,5,5,佐川,西濃,久留米,0
5146204,角椅子,120,,,佐川,西濃,久留米,0
5146204,角椅子　※２個１ケースの場合,140,,,佐川,西濃,久留米,0
6035501,小型特殊刃物研ぎ機　M-10N,160,,,佐川,西濃,久留米,0
5639005,プラケース　B-10　（１０個）,200,,,佐川,西濃,久留米,0
5639001,プラケース　B-1３　（１０個）,220,,,佐川,西濃,久留米,0
5639004,プラケース　B-1５　（１０個）,220,,,佐川,西濃,久留米,0
5639006,プラケース　B-1６　（１０個）,200,,,佐川,西濃,久留米,0
5367131,卓上ボール盤　B-13S,240,80,80,西濃,久留米,,1
5372250,集塵装置付きベルトサンダーTFS-10N,,140,140,西濃,久留米,,0
5155408,卓上スライド丸のこATSS,160,30,30,佐川,西濃,久留米,0
5175400,角のみ機　NH-400,140,30,30,佐川,西濃,久留米,0
5367151,★ボール盤ＥＳＤ－３５０Ｓ（ドリルチャック付）,,80,80,西濃,久留米,,0
5182280,簡易集塵機　MY-150XN,200,45,,佐川,西濃,久留米,0
5785358,自立型スクリーン　RS－８０,260,,,佐川,西濃,久留米,0
5154200,テーブル丸鋸　C－１０FE,200,30,30,佐川,西濃,久留米,0
5154201,テーブル丸鋸　専用スタンド,100,,,佐川,西濃,久留米,0
90000993,日立スライド丸鋸　C１２RSH2,220,80,80,佐川,西濃,久留米,0
90000993,日立スライド丸鋸　C8FSH,180,30,30,佐川,西濃,久留米,0
90000993,リョービスライド丸鋸　TSS-192,,10,10,佐川,西濃,久留米,0
90000993,リョービブロアー　EBVK-2650,,,,佐川,西濃,久留米,0
5155412,小型ボール盤　ＴＢ－2131,170,40,40,佐川,西濃,久留米,0
5367040,小型ボール盤　TB-1131K,140,20,20,佐川,西濃,久留米,0
90000993,リョービ　糸鋸盤TFE-450,140,20,20,佐川,西濃,久留米,0
90000993,マキタブロアー　EUB4250SP,140,,,佐川,西濃,久留米,0
5146110,生徒用　KTB-1805,,320,320,佐川,西濃,久留米,0
5928000,生徒用裁縫机　SS-1,,320,320,西濃,久留米,,1
5145312,スライド工作台　１２００,,220,220,西濃,久留米,,1
,工作台　1500,,270,270,西濃,久留米,,1
5145270,セパレート工作台　900×900×750（佐川不可）,,170,170,西濃,久留米,,0
5145272,セパレート工作台　600×900×750（佐川不可）,,113,113,西濃,久留米,,0
5182200,移動式小型集塵機　,,200,200,西濃,久留米,,1
